feed_name,feed_description,gtfs_zip_url,license_url
rhodyexpress-or-us,"Rhody Express: Florence, OR",http://oregon-gtfs.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,
rideconnection-or-us,Ride Connection: Portland Metro Area,http://oregon-gtfs.com/gtfs_data/rideconnection-or-us/rideconnection-or-us.zip,
roguevalleytransportationdistrict-medford-or-us,"Rogue Valley Transportation District: Medford, OR",http://www.rvtd.org/images/subpages/google_transit.zip,
sagestage-ca-us,"Sage Stage: Modoc County, CA to Alturas, CA to Klamath Falls, OR",http://www.gtfs-data-exchange.com/agency/sage-stage/latest.zip,
salem-or-us,"Salem-Keizer Transit (Cherriots): Salem, OR",http://www.cherriots.org/developer/gtfs.zip,http://cherriots.org/en/mobile-apps/data
sandy-or-us,"Mt. Hood Express: Sandy, OR, Sandy Area Metro: Sandy to Gresham to Estacada",http://oregon-gtfs.com/gtfs_data/sandy-or-us/sandy-or-us.zip,
southlanewheels-or-us,"South Lane Wheels: Cottage Grove, OR",http://oregon-gtfs.com/gtfs_data/southlanewheels-or-us/southlanewheels-or-us.zip,
southwestpoint-or-us,SouthWest POINT: Brookings to Klamath Falls,http://oregon-gtfs.com/gtfs_data/southwestpoint-or-us/southwestpoint-or-us.zip,
swanisland-or-us,"Swan Island Evening Shuttle: Transportation Management Association in Overlook neighborhood, Portland",http://oregon-gtfs.com/gtfs_data/swanisland-or-us/swanisland-or-us.zip,
tillamook-or-us,"Sunset Empire Transportation District (""The Bus""): Astoria, OR, The Wave: Tillamook, OR",http://oregon-gtfs.com/gtfs_data/tillamook-or-us/tillamook-or-us.zip,
trimet-portland-or-us,TriMet: Portland Metro Area,http://developer.trimet.org/schedule/gtfs.zip,http://developer.trimet.org/terms_of_use.shtml
umatillatribes-pendleton-or-us,"Kayak Public Transit: Umatilla County to Tri-Cities, WA and Walla Walla, WA",http://mjcaction.com/MJC_GTFS_Public/ctuir_google_transit.zip,
umpquatransit-or-us,"U-Trans: Roseburg, OR",http://oregon-gtfs.com/gtfs_data/umpquatransit-or-us/umpquatransit-or-us.zip,
valleyretriever-or-us,Valley Retriever: Newport to Portland to Bend,http://oregon-gtfs.com/gtfs_data/valleyretriever-or-us/valleyretriever-or-us.zip,
wilsonville-or-us,"South Metro Area Regional Transit (SMART): Wilsonville, OR",http://data.trilliumtransit.com/gtfs/wilsonville-or-us/wilsonville-or-us.zip,
woodburn-or-us,"Woodburn Transit Service: Woodburn, OR",http://oregon-gtfs.com/gtfs_data/woodburn-or-us/woodburn-or-us.zip,
yamhill-or-us,Yamhill County Transit Area: Yamhill County,http://oregon-gtfs.com/gtfs_data/yamhill-or-us/yamhill-or-us.zip,
